sediment_thick,gwt,predom,vs30,dem,pga,geo_form,near_dis,near_dis_norm,near_dist,LIQ
1,7,1,3,4,5,6,1.57,0.17,6,0
1,8,4,3,3,6,14,0.61,0.06,3,0
1,8,2,3,2,8,11,0.06,0.01,1,0
1,8,3,3,2,7,5,0.1,0.01,1,0
2,7,2,3,3,6,17,0.77,0.08,4,0
1,7,1,3,3,7,17,0.05,0.01,1,1
1,7,3,2,4,7,17,0.56,0.06,3,0
1,6,2,2,3,8,17,1.03,0.11,4,1
1,7,1,3,3,5,7,1.69,0.18,6,0
1,7,1,3,4,5,1,2.24,0.24,7,0
1,7,1,3,5,5,1,1.65,0.17,6,0
1,7,1,3,5,5,4,0.8,0.08,4,0
1,7,1,3,4,5,1,0.63,0.07,3,0
1,6,1,3,5,5,1,0.81,0.09,4,0
1,5,1,3,8,5,1,1.57,0.17,6,0
1,7,3,3,4,5,18,1.81,0.19,6,0
1,7,4,3,3,6,18,1.05,0.11,4,0
1,7,5,3,3,6,18,0.7,0.07,3,0
2,7,2,3,2,6,5,0.02,0,1,0
3,7,3,3,2,6,17,0.87,0.09,4,0
2,6,3,2,3,6,5,0.29,0.03,2,1
2,6,3,2,4,7,17,0.17,0.02,1,1
2,6,4,2,3,9,17,0.6,0.06,3,1
1,6,2,2,3,6,17,0.76,0.08,4,1
1,6,2,3,3,9,2,1.63,0.17,6,0
1,7,1,3,3,6,4,2.28,0.24,7,0
1,7,2,2,3,8,4,1.34,0.14,5,1
1,7,1,3,5,5,4,0.41,0.04,2,0
1,5,1,3,5,5,1,0.25,0.03,2,0
1,5,1,3,8,5,6,1.23,0.13,5,0
1,7,1,3,4,5,17,1.73,0.18,6,0
1,7,5,2,3,9,18,0.76,0.08,4,0
2,7,7,3,3,6,18,0.24,0.03,2,0
3,7,4,1,2,6,5,0,0,1,0
3,7,3,3,2,6,5,0.68,0.07,3,0
4,6,4,2,3,7,17,0.14,0.01,1,1
3,6,4,2,3,7,17,0.13,0.01,1,1
2,6,1,2,3,5,7,0.69,0.07,3,0
2,6,1,3,3,5,7,0.82,0.09,4,0
2,6,4,2,3,8,7,1.66,0.18,6,0
2,6,2,2,3,7,12,2.61,0.27,8,0
1,6,1,3,4,5,4,1.89,0.2,6,0
1,6,2,2,4,8,4,1.37,0.14,5,0
1,5,1,3,6,5,6,1.2,0.13,5,0
1,5,1,3,7,5,6,1.7,0.18,6,0
1,4,1,3,7,5,6,1.26,0.13,5,0
1,7,1,3,4,5,4,1.95,0.21,6,0
1,7,1,3,5,5,1,1.17,0.12,5,0
2,7,1,3,4,5,18,0.88,0.09,4,0
3,7,2,3,2,8,5,0.04,0,1,1
3,6,6,2,3,6,17,0.6,0.06,3,1
6,6,4,2,3,6,17,0.3,0.03,2,1
5,5,6,2,3,7,17,0.38,0.04,2,1
4,5,6,3,3,6,7,0.06,0.01,1,1
3,5,2,3,2,8,7,0.93,0.1,4,1
3,6,3,3,2,8,7,1.91,0.2,6,1
4,6,2,3,3,7,4,2.89,0.3,8,0
3,6,1,3,4,5,6,2.79,0.29,8,0
2,6,1,3,5,5,6,2.39,0.25,7,0
1,5,1,3,4,5,4,2.29,0.24,7,0
1,5,1,3,5,5,6,2.59,0.27,8,0
1,4,1,3,7,5,6,2.17,0.23,7,0
1,7,1,3,6,5,1,2.13,0.22,7,0
1,7,1,3,5,5,1,1.28,0.13,5,0
3,7,1,3,2,5,18,0.52,0.06,3,0
4,6,1,3,2,5,5,0.05,0.01,1,1
6,6,5,2,2,6,17,0.29,0.03,2,1
6,5,5,2,2,8,17,0.39,0.04,2,1
6,4,6,2,3,6,5,0.97,0.1,4,0
6,4,7,1,2,9,7,0.87,0.09,4,1
6,4,6,2,2,7,7,1.28,0.13,5,1
6,5,4,2,2,8,7,2.1,0.22,7,1
5,6,3,3,2,8,7,3.02,0.32,8,1
4,6,1,3,3,8,7,3.79,0.4,9,0
3,6,2,3,3,7,7,3.46,0.37,9,0
2,6,1,3,3,5,4,3.4,0.36,9,0
1,5,1,3,5,5,6,3.61,0.38,9,0
1,4,1,3,4,4,6,3.07,0.32,8,0
1,7,1,3,5,5,1,1.83,0.19,6,0
2,6,1,3,4,5,2,0.84,0.09,4,0
4,6,5,1,2,8,11,0.06,0.01,1,1
5,6,6,2,2,7,5,0.59,0.06,3,0
3,6,7,2,3,6,17,0.68,0.07,3,0
4,5,6,3,2,6,17,0.13,0.01,1,1
6,4,8,2,2,7,5,0.99,0.1,4,1
7,3,7,1,2,8,7,1.92,0.2,6,1
8,4,7,2,2,6,7,2.2,0.23,7,1
8,5,7,2,2,6,7,2.36,0.25,7,0
7,6,5,2,2,7,7,2.73,0.29,8,1
6,6,4,2,2,6,7,2.99,0.32,8,0
5,6,4,2,3,7,7,2.95,0.31,8,0
4,6,4,2,3,8,7,3.22,0.34,9,1
3,5,1,3,3,4,6,3.36,0.35,9,0
1,4,1,2,3,4,4,3.04,0.32,8,0
1,6,1,3,4,5,1,1.85,0.19,6,0
4,6,2,1,2,7,4,0.93,0.1,4,0
6,6,5,1,2,9,7,0.44,0.05,2,1
5,6,5,3,2,6,5,0.2,0.02,1,0
3,5,7,2,2,7,17,0.77,0.08,4,0
5,5,7,1,2,7,7,0.08,0.01,1,1
6,5,9,2,2,5,7,1.03,0.11,4,1
